@relation clean_data_v2

@attribute WIND numeric
@attribute IND numeric
@attribute RAIN numeric
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric
@attribute MONTH numeric

@data
13.67,0,0.2,0,9.5,0,3.7,-1,1
11.5,0,5.1,0,7.2,0,4.2,1.1,1
11.25,0,0.4,0,5.5,0,0.5,-0.5,1
8.63,0,0.2,0,5.6,0,0.4,-3.2,1
11.92,0,10.4,0,7.2,1,-1.5,-7.5,1
10.67,0,0,0,6.5,0,1.2,-2,1
9.17,0,1.9,0,9.2,1,-2.4,-7.1,1
14.29,0,0,0,6.6,0,3.1,0,1
8.04,0,8.3,0,6.8,0,2.4,-0.8,1
11.42,0,0,0,6.5,0,3,0.5,1
7.54,0,0.5,0,10,1,-3.1,-7.7,1
15.54,0,6,0,12.2,1,-3.3,2.736547,1
4.63,0,0,0,13.1,0,5.5,3.3,1
3.08,0,0,0,5.6,1,-3.2,-6.1,1
2.5,0,0,0,4.4,1,-5,-8.3,1
9.25,0,0,0,4.6,1,-4.2,-8.3,1
13.42,0,2,0,9.3,0,3.2,-2.7,1
17.83,0,8.4,0,10.1,0,4.3,5.1,1
3.71,0,0.9,0,6.6,0,1.6,-2,1
3.17,0,21.5,0,9.3,1,-0.6,-5.4,1
8.04,0,0.2,0,10.1,0,1.6,0.4,1
9.38,0,0.3,0,6.5,0,5.5,1.3,1
13.7,0,0,0,6.5,0,5.5,2.2,1
20.38,0,9.5,0,5.3,0,3.4,0.5,1
9.25,0,0,0,4.3,0,2.2,1.1,1
14.33,0,0.7,0,13,0,2.2,-1.6,1
16.79,0,1.5,0,12.3,0,3.7,2.7,1
12.25,0,2.8,0,12,0,4.8,-2.2,1
22,0,6.2,0,12.6,0,4.4,1.2,1
14.5,0,1.4,0,7.8,0,3.7,0.8,1
14.88,0,4.7,0,7.2,0,2.1,-0.5,1
10.17,0,2.1,0,8.7,0,1,-2.2,2
10.88,0,0.1,0,8.1,0,1,1,2
8.5,0,4,0,8.1,1,-0.6,-5,2
12.54,0,5.7,0,11.3,0,0,-1.1,2
13.96,0,8.6,0,13.5,0,4.7,2.1,2
19.17,0,0.5,0,7.8,0,2.1,1.5,2
14.21,0,0.3,0,11.6,0,3.2,0.7,2
16.5,0,4.4,0,14.6,0,4.4,2.4,2
14.37,0,0.3,0,11.7,0,6.4,3.2,2
11.08,0,0.8,0,10.7,0,7.3,3.1,2
17.5,0,3.5,0,11.3,0,7.3,3.8,2
11.71,0,0,0,15.5,0,7.1,4.3,2
16.08,0,0,0,12.7,0,8.8,6,2
15.46,0,0,0,13.3,0,10,7.7,2
5.17,0,0,0,13.8,0,2.5,-3.3,2
3.42,0,0,0,12.1,0,2.5,-2.6,2
6.17,0,0,0,11.7,0,4.4,-0.4,2
10.88,0,0,0,13.3,0,6,4.3,2
9.62,0,0,0,14.5,0,8.2,-0.4,2
7.25,0,0,0,13.1,0,5.3,-1.5,2
3.75,0,0,0,8.6,0,4.7,-2.1,2
8.25,0,0,0,7.5,0,5.1,2.5,2
16.38,0,4.6,0,8.8,0,5.1,2.2,2
8.17,0,0.7,0,11,0,6.1,4.4,2
13.08,0,3.2,0,9.8,0,2.7,-1.3,2
21.17,0,2.1,0,14.5,0,5.2,1,2
12.75,0,3.1,0,10.1,0,4.8,1.1,2
14.75,0,1,0,10.6,0,3.8,0.7,2
10.25,0,0.7,0,12.7,0,8.1,5,3
10.88,0,0,0,12.2,0,7.2,4.3,3
11.29,0,0,0,12.2,0,3,-1.6,3
6.21,0,0,0,11.8,0,2.8,0.5,3
5.5,0,0,0,17.2,0,0,-3.2,3
2.83,0,0,0,14.4,0,4.3,1.3,3
3.63,0,0,0,14.7,0,6,2.3,3
1.71,0,0,0,15.1,0,4.4,0.8,3
3.75,0,0,0,14.2,0,6.1,1.6,3
8.79,0,0,0,11.8,0,6.7,3.8,3
10.34,0,0,0,14.6,0,5.7,2.4,3
17.12,0,0.1,0,13.4,0,4.8,2.736547,3
13.96,0,0,0,15.5,0,10.5,9,3
8.12,0,0,0,15.5,0,9.5,5,3
11.54,0,0,0,16.2,0,7.1,0.5,3
2.75,0,0,0,18.8,0,2.2,-1.2,3
13,0,0,0,9.7,0,2.1,-1.5,3
13.17,0,0.5,0,10.2,0,2.8,0.4,3
7.75,0,0,2,9.6,0,3.3,-1.6,3
15.41,0,0,0,11.8,0,2.3,-2.2,3
8.17,0,0,0,10.3,0,1.7,-1.7,3
8,0,0,0,12.7,0,3.1,-1.8,3
10.88,0,0,0,9.4,0,5.5,5,3
8.46,0,0,0,14.5,0,6.1,5.2,3
10.75,0,0,0,12.2,0,3.2,-1.6,3
13.75,0,0.3,0,11.8,0,8.4,5.5,3
6.75,0,0,0,11.7,1,-0.8,-5,3
10.88,0,1.1,0,13.3,0,0.4,-2.6,3
16.62,0,1.8,0,14.7,2,7.5,5.5,3
14.79,0,1.8,0,13.8,0,9.5,8.6,3
11.92,0,1.1,0,14.5,0,7.1,2.7,3
11.67,0,2.5,0,13.7,0,8.8,7.7,4
5.25,0,0,0,10.3,0,5.2,5,4
5.5,0,2.6,0,6.6,0,3.4,3.2,4
6,0,9.6,0,10.8,0,3.8,1.6,4
9.25,0,4.2,0,14.3,0,4.7,4.2,4
5,0,0,0,11.8,0,8,6.3,4
5.33,0,0,0,10.2,0,1.1,-0.5,4
8.71,0,8.1,0,12.1,0,3.8,-0.8,4
9.96,0,1.9,0,12,0,8.8,8.3,4
5.21,0,1.9,0,14.4,0,9.4,9,4
5.66,0,5.8,0,16.1,0,3.7,-0.2,4
6.54,0,7.8,0,13.7,0,10.4,9.3,4
8,0,0.1,0,15,0,9,3.1,4
4.29,0,0.5,0,14.6,0,7,3.3,4
2.46,0,0,0,12.7,0,3.4,0,4
2.88,0,0,0,12.2,0,2.3,-1.2,4
4.46,0,0,0,15.5,0,3.8,-0.8,4
5.66,0,0.2,0,10.7,0,6.7,3.6,4
12.96,0,3.7,0,11.6,0,7.6,-1.1,4
12.25,0,1,0,12.4,0,7.5,2.736547,4
9.5,0,3.6,0,16.4,0,8.4,1.6,4
7.46,0,11,0,12.6,0,9.3,3.8,4
10.71,0,1.8,0,12.8,0,6.7,1.3,4
5.25,0,2.8,0,13.8,0,2.4,-2.2,4
13.75,0,17.2,0,12.8,0,7.7,1.1,4
6,0,0,0,16.2,0,6.7,-0.1,4
6.25,0,0,0,16.8,0,7.2,1.6,4
2.67,0,0,0,15.5,0,2.7,-2.6,4
4.04,0,4,0,15.7,0,7.1,3.8,4
5.09,0,1.6,0,16.5,0,9,2.736547,4
9.96,0,7.3,0,19.2,0,8.2,2.736547,5
10.46,0,3.4,0,13,0,7.7,2.736547,5
9.5,0,0.4,0,15.5,0,7.4,6.6,5
5.96,0,2,0,16.7,0,10.5,7.8,5
9.13,0,0.7,0,16.1,0,6.2,3,5
16.83,0,0.8,0,15.5,0,9.2,6.2,5
18.21,0,2.3,0,13.3,0,6.8,4.6,5
18.58,0,0,0,15,0,7.2,5.5,5
7.25,0,0,0,16.7,0,5.4,2.7,5
3.33,0,0,0,17.1,0,2.1,-1,5
3.67,0,0,0,19.7,0,2.2,0.3,5
5.17,0,0,0,19.8,0,6.5,1.4,5
5.21,0,0.2,0,22.1,0,5.1,0.1,5
10.04,0,1.4,0,15.7,0,10.2,6.6,5
5.91,0,0,0,14.7,0,9,8.5,5
8.38,0,0,0,13.1,0,8.8,4.6,5
5.83,0,0,0,13.4,0,3,-0.4,5
5.04,0,0,0,12.7,0,4.3,-1.2,5
6.83,0,0,0,14.6,0,5,0.5,5
4.71,0,0,0,14.7,0,9,7.2,5
3.17,0,0,0,15.2,0,3.4,-0.7,5
2.42,0,0,0,14.4,0,6.2,1.1,5
3.13,0,0,0,14.5,0,9.4,8.7,5
4,0,0.2,0,14.6,0,10.4,10,5
6.79,0,1.6,0,12.7,0,8.1,8.4,5
9.33,0,0,0,10.6,0,4.6,2.2,5
4.92,0,0,0,12.5,0,3.2,-1.2,5
5.41,0,0,0,14,0,1,-2.8,5
11.71,0,1.8,0,13.3,0,9.2,7.5,5
5.83,0,0,0,14.2,0,10,8.1,5
6.58,0,0,0,17,0,7.8,3.3,5
9.75,0,0,0,17,0,5,3.2,6
7.92,0,0,0,17.8,0,10.5,10.1,6
10.41,0,0,0,18.7,0,11.7,10.8,6
6.21,0,0,0,20.8,0,11.3,10.5,6
