@relation windata-weka.filters.unsupervised.attribute.Remove-R1

@attribute WIND numeric
@attribute IND numeric
@attribute RAIN numeric
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric

@data
13.67,0,0.2,0,9.5,0,3.7,-1
11.5,0,5.1,0,7.2,0,4.2,1.1
11.25,0,0.4,0,5.5,0,0.5,-0.5
8.63,0,0.2,0,5.6,0,0.4,-3.2
11.92,0,10.4,0,7.2,1,-1.5,-7.5
10.67,0,0,0,6.5,0,1.2,-2
9.17,0,1.9,0,9.2,1,-2.4,-7.1
14.29,0,0,0,6.6,0,3.1,0
8.04,0,8.3,0,6.8,0,2.4,-0.8
11.42,0,0,0,6.5,0,3,0.5
7.54,0,0.5,0,10,1,-3.1,-7.7
15.54,0,6,0,12.2,1,-3.3,?
4.63,0,0,0,13.1,0,5.5,3.3
3.08,0,0,0,5.6,1,-3.2,-6.1
2.5,0,0,0,4.4,1,-5,-8.3
9.25,0,0,0,4.6,1,-4.2,-8.3
13.42,0,2,0,9.3,0,3.2,-2.7
17.83,0,8.4,0,10.1,0,4.3,5.1
3.71,0,0.9,0,6.6,0,1.6,-2
3.17,0,21.5,0,9.3,1,-0.6,-5.4
8.04,0,0.2,0,10.1,0,1.6,0.4
9.38,0,0.3,0,6.5,0,5.5,1.3
13.7,0,0,0,6.5,0,5.5,2.2
20.38,0,9.5,0,5.3,0,3.4,0.5
9.25,0,0,0,4.3,0,2.2,1.1
14.33,0,0.7,0,13,0,2.2,-1.6
16.79,0,1.5,0,12.3,0,3.7,2.7
12.25,0,2.8,0,12,0,4.8,-2.2
22,0,6.2,0,12.6,0,4.4,1.2
14.5,0,1.4,0,7.8,0,3.7,0.8
14.88,0,4.7,0,7.2,0,2.1,-0.5
10.17,0,2.1,0,8.7,0,1,-2.2
10.88,0,0.1,0,8.1,0,1,1
8.5,0,4,0,8.1,1,-0.6,-5
12.54,0,5.7,0,11.3,0,0,-1.1
13.96,0,8.6,0,13.5,0,4.7,2.1
19.17,0,0.5,0,7.8,0,2.1,1.5
14.21,0,0.3,0,11.6,0,3.2,0.7
16.5,0,4.4,0,14.6,0,4.4,2.4
14.37,0,0.3,0,11.7,0,6.4,3.2
11.08,0,0.8,0,10.7,0,7.3,3.1
17.5,0,3.5,0,11.3,0,7.3,3.8
11.71,0,0,0,15.5,0,7.1,4.3
16.08,0,0,0,12.7,0,8.8,6
15.46,0,0,0,13.3,0,10,7.7
5.17,0,0,0,13.8,0,2.5,-3.3
3.42,0,0,0,12.1,0,2.5,-2.6
6.17,0,0,0,11.7,0,4.4,-0.4
10.88,0,0,0,13.3,0,6,4.3
9.62,0,0,0,14.5,0,8.2,-0.4
7.25,0,0,0,13.1,0,5.3,-1.5
3.75,0,0,0,8.6,0,4.7,-2.1
8.25,0,0,0,7.5,0,5.1,2.5
16.38,0,4.6,0,8.8,0,5.1,2.2
8.17,0,0.7,0,11,0,6.1,4.4
13.08,0,3.2,0,9.8,0,2.7,-1.3
21.17,0,2.1,0,14.5,0,5.2,1
12.75,0,3.1,0,10.1,0,4.8,1.1
14.75,0,1,0,10.6,0,3.8,0.7
10.25,0,0.7,0,12.7,0,8.1,5
10.88,0,0,0,12.2,0,7.2,4.3
11.29,0,0,0,12.2,0,3,-1.6
6.21,0,0,0,11.8,0,2.8,0.5
5.5,0,0,0,17.2,0,0,-3.2
2.83,0,0,0,14.4,0,4.3,1.3
3.63,0,0,0,14.7,0,6,2.3
1.71,0,0,0,15.1,0,4.4,0.8
3.75,0,0,0,14.2,0,6.1,1.6
8.79,0,0,0,11.8,0,6.7,3.8
10.34,0,0,0,14.6,0,5.7,2.4
17.12,0,0.1,0,13.4,0,4.8,?
13.96,0,0,0,15.5,0,10.5,9
8.12,0,0,0,15.5,0,9.5,5
11.54,0,0,0,16.2,0,7.1,0.5
2.75,0,0,0,18.8,0,2.2,-1.2
13,0,0,0,9.7,0,2.1,-1.5
13.17,0,0.5,0,10.2,0,2.8,0.4
7.75,0,0,2,9.6,0,3.3,-1.6
15.41,0,0,0,11.8,0,2.3,-2.2
8.17,0,0,0,10.3,0,1.7,-1.7
8,0,0,0,12.7,0,3.1,-1.8
10.88,0,0,0,9.4,0,5.5,5
8.46,0,0,0,14.5,0,6.1,5.2
